rule_number,rule_binary,num_nodes,num_edges,density,is_strongly_connected,max_in_degree,max_out_degree,avg_in_degree,avg_out_degree
112,01110000,2,8,4.0,True,5,4,4.0,4.0
113,01110001,2,8,4.0,True,4,4,4.0,4.0
114,01110010,2,8,4.0,True,4,4,4.0,4.0
115,01110011,2,8,4.0,True,5,4,4.0,4.0
116,01110100,2,8,4.0,True,4,4,4.0,4.0
117,01110101,2,8,4.0,True,5,4,4.0,4.0
118,01110110,2,8,4.0,True,5,4,4.0,4.0
119,01110111,2,8,4.0,True,6,4,4.0,4.0
120,01111000,2,8,4.0,True,4,4,4.0,4.0
121,01111001,2,8,4.0,True,5,4,4.0,4.0
122,01111010,2,8,4.0,True,5,4,4.0,4.0
123,01111011,2,8,4.0,True,6,4,4.0,4.0
124,01111100,2,8,4.0,True,5,4,4.0,4.0
125,01111101,2,8,4.0,True,6,4,4.0,4.0
126,01111110,2,8,4.0,True,6,4,4.0,4.0
127,01111111,2,8,4.0,True,7,4,4.0,4.0
128,10000000,2,8,4.0,False,7,4,4.0,4.0
129,10000001,2,8,4.0,True,6,4,4.0,4.0
130,10000010,2,8,4.0,True,6,4,4.0,4.0
131,10000011,2,8,4.0,True,5,4,4.0,4.0
132,10000100,2,8,4.0,False,6,4,4.0,4.0
133,10000101,2,8,4.0,True,5,4,4.0,4.0
134,10000110,2,8,4.0,True,5,4,4.0,4.0
135,10000111,2,8,4.0,True,4,4,4.0,4.0
136,10001000,2,8,4.0,False,6,4,4.0,4.0
137,10001001,2,8,4.0,True,5,4,4.0,4.0
138,10001010,2,8,4.0,True,5,4,4.0,4.0
139,10001011,2,8,4.0,True,4,4,4.0,4.0
140,10001100,2,8,4.0,False,5,4,4.0,4.0
141,10001101,2,8,4.0,True,4,4,4.0,4.0
142,10001110,2,8,4.0,True,4,4,4.0,4.0
143,10001111,2,8,4.0,True,5,4,4.0,4.0
144,10010000,2,8,4.0,True,6,4,4.0,4.0
145,10010001,2,8,4.0,True,5,4,4.0,4.0
146,10010010,2,8,4.0,True,5,4,4.0,4.0
147,10010011,2,8,4.0,True,4,4,4.0,4.0
148,10010100,2,8,4.0,True,5,4,4.0,4.0
149,10010101,2,8,4.0,True,4,4,4.0,4.0
150,10010110,2,8,4.0,True,4,4,4.0,4.0
151,10010111,2,8,4.0,True,5,4,4.0,4.0
152,10011000,2,8,4.0,True,5,4,4.0,4.0
153,10011001,2,8,4.0,True,4,4,4.0,4.0
154,10011010,2,8,4.0,True,4,4,4.0,4.0
155,10011011,2,8,4.0,True,5,4,4.0,4.0
156,10011100,2,8,4.0,True,4,4,4.0,4.0
157,10011101,2,8,4.0,True,5,4,4.0,4.0
158,10011110,2,8,4.0,True,5,4,4.0,4.0
159,10011111,2,8,4.0,True,6,4,4.0,4.0
160,10100000,2,8,4.0,True,6,4,4.0,4.0
161,10100001,2,8,4.0,True,5,4,4.0,4.0
162,10100010,2,8,4.0,True,5,4,4.0,4.0
163,10100011,2,8,4.0,True,4,4,4.0,4.0
164,10100100,2,8,4.0,True,5,4,4.0,4.0
165,10100101,2,8,4.0,True,4,4,4.0,4.0
166,10100110,2,8,4.0,True,4,4,4.0,4.0
167,10100111,2,8,4.0,True,5,4,4.0,4.0
168,10101000,2,8,4.0,True,5,4,4.0,4.0
